timestamp,keyword,title,company,stipend,duration,url,status,notes
2026-03-14 23:19:04,tech-intern,Video Editing/Making,Internovo Ventures Private Limited,"₹ 6,000 - 8,000 /month",Unknown,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-internovo-ventures-private-limited1773314920,applied,
2026-03-15 13:06:32,tech-intern,Volunteering,"Pawzz
Actively hiring","₹ 1,500 - 15,000 /month",Unknown,https://internshala.com/internship/detail/work-from-home-part-time-volunteering-internship-at-pawzz1773319232,applied,
2026-03-15 13:06:53,tech-intern,Interior Design,"Brandhigh.co
Actively hiring","₹ 5,000 - 15,000 /month",Unknown,https://internshala.com/internship/detail/interior-design-internship-in-indore-at-brandhighco1771413957,applied,
2026-03-15 13:07:14,tech-intern,Software Development,"EshiaBIM
Actively hiring","₹ 8,000 - 12,000 /month",Unknown,https://internshala.com/internship/detail/game-development-internship-in-ahmedabad-at-eshiabim1772714434,applied,
2026-03-15 13:07:36,tech-intern,Community Management,"HourSpace
Actively hiring","₹ 12,000 - 19,000 /month",Unknown,https://internshala.com/internship/detail/part-time-community-management-internship-in-mumbai-at-hourspace1771331493,applied,
2026-03-15 13:07:56,tech-intern,Investment Compliance,"Nikunj Fabrics Pvt Ltd
Actively hiring","₹ 15,000 - 25,000 /month",Unknown,https://internshala.com/internship/detail/part-time-investment-compliance-internship-in-mumbai-at-nikunj-fabrics-pvt-ltd1772343014,applied,
2026-03-15 13:08:17,tech-intern,Video Editing/Making,Internovo Ventures Private Limited,"₹ 6,000 - 8,000 /month",Unknown,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-internovo-ventures-private-limited1773314920,applied,
2026-03-15 13:08:38,tech-intern,Video Editing/Making,"WAH FILMS
Actively hiring","₹ 15,000 /month",Unknown,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-wah-films1771911059,applied,
2026-03-15 13:09:36,tech-intern,Social Internship Program (60 Hours),"Scope For Change
Actively hiring",Unpaid,Unknown,https://internshala.com/internship/detail/social-internship-program-60-hours-internship-in-delhi-at-scope-for-change1772775807,applied,
2026-03-15 13:10:36,tech-intern,Software Engineer Intern - Cisco Women Internship Program,Cisco,Competitive stipend,Unknown,https://internshala.com/internship/detail/software-engineer-intern-cisco-women-internship-program-internship-in-bangalore-at-cisco1772707292,failed,
2026-03-15 13:10:56,tech-intern,MBA/BBA Climate Business Internship,"Energy Alternatives India
Actively hiring","₹ 15,000 - 20,000 /month",Unknown,https://internshala.com/internship/detail/mba-bba-climate-business-internship-internship-in-chennai-at-energy-alternatives-india1773208240,applied,
2026-03-15 13:11:18,tech-intern,Social Internship Program (60 Hours) - Virtual,"Scope For Change
Actively hiring",Unpaid,Unknown,https://internshala.com/internship/detail/work-from-home-social-internship-program-60-hours-virtual-internship-at-scope-for-change1772775754,applied,
2026-03-15 13:11:44,tech-intern,Video Editing/Making,Ankit Pandey,"₹ 1,000 /month",Unknown,https://internshala.com/internship/detail/work-from-home-part-time-video-editing-making-internship-at-ankit-pandey1771393544,applied,
2026-03-15 13:12:06,tech-intern,Client Servicing (Male),"The Walnut Infratech Pvt. Ltd.
Actively hiring","₹ 5,000 - 10,000 /month",Unknown,https://internshala.com/internship/detail/client-servicing-male-internship-in-gurgaon-at-the-walnut-infratech-pvt-ltd1773402164,applied,
2026-03-15 13:12:28,tech-intern,Dancer (Male Only),We Manage Star,"₹ 10,000 - 16,000 /month",Unknown,https://internshala.com/internship/detail/work-from-home-dancer-male-only-internship-at-we-manage-star1773247664,applied,
2026-03-15 13:12:50,tech-intern,Photography,SocialGrade,"₹ 25,000 /month",Unknown,https://internshala.com/internship/detail/photography-internship-in-mumbai-at-socialgrade1773194261,applied,
2026-03-15 13:13:11,tech-intern,Proofreading,PerevodRu,"₹ 10,000 - 15,000 /month",Unknown,https://internshala.com/internship/detail/proofreading-internship-in-mumbai-at-perevodru1772288255,applied,
2026-03-15 13:13:36,tech-intern,Talent Acquisition,"Expertrons
Actively hiring","₹ 10,000 - 15,000 /month",Unknown,https://internshala.com/internship/detail/talent-acquisition-internship-in-mumbai-at-expertrons1773337457,applied,
2026-03-15 13:13:56,tech-intern,Recruitment,"Zell Education
Actively hiring","₹ 6,000 - 8,000 /month",Unknown,https://internshala.com/internship/detail/recruitment-internship-in-mumbai-at-zell-education1773226963,applied,
2026-03-15 13:14:17,tech-intern,Scriptwriter,"Discovr AI
Actively hiring","₹ 10,000 - 15,000 /month",Unknown,https://internshala.com/internship/detail/scriptwriter-internship-in-mumbai-at-discovr-ai1773115845,applied,
2026-03-15 13:14:37,tech-intern,Photography,"Giftech Global
Actively hiring","₹ 10,000 - 15,000 /month",Unknown,https://internshala.com/internship/detail/photography-internship-in-mumbai-at-giftech-global1772869747,applied,
2026-03-15 13:15:01,tech-intern,Electrochemistry,"280 Carbon
Actively hiring","₹ 20,000 - 25,000 /month",Unknown,https://internshala.com/internship/detail/chemistry-internship-in-mumbai-at-280-carbon1771825955,applied,
2026-03-15 13:15:22,tech-intern,Telecalling,"Kulswamini Enterprises
Actively hiring","₹ 20,000 - 40,000 /month",Unknown,https://internshala.com/internship/detail/telecalling-internship-in-mumbai-at-kulswamini-enterprises1771482410,applied,
2026-03-15 14:07:56,tech-intern,Sensor Development,"Dolphin Device
Actively hiring","₹ 5,000 - 10,000 /month",Unknown,https://internshala.com/internship/detail/sensor-development-internship-in-gurgaon-at-dolphin-device1773292821,applied,
2026-03-15 14:08:21,tech-intern,Software Development,"EshiaBIM
Actively hiring","₹ 8,000 - 12,000 /month",Unknown,https://internshala.com/internship/detail/game-development-internship-in-ahmedabad-at-eshiabim1772714434,applied,
2026-03-15 14:09:51,tech-intern,Internship Coordinator,"Kartavyam
Actively hiring",Unpaid,Unknown,https://internshala.com/internship/detail/work-from-home-part-time-internship-coordinator-internship-at-kartavyam1773220235,applied,
2026-03-15 14:10:13,tech-intern,Social Internship Program (60 Hours),"Scope For Change
Actively hiring",Unpaid,Unknown,https://internshala.com/internship/detail/social-internship-program-60-hours-internship-in-delhi-at-scope-for-change1772775807,applied,
2026-03-15 14:11:13,tech-intern,Software Engineer Intern - Cisco Women Internship Program,Cisco,Competitive stipend,Unknown,https://internshala.com/internship/detail/software-engineer-intern-cisco-women-internship-program-internship-in-bangalore-at-cisco1772707292,failed,
2026-03-15 14:11:35,tech-intern,Social Internship Program (60 Hours) - Virtual,"Scope For Change
Actively hiring",Unpaid,Unknown,https://internshala.com/internship/detail/work-from-home-social-internship-program-60-hours-virtual-internship-at-scope-for-change1772775754,applied,
2026-03-15 14:13:02,tech-intern,Software Development,"EshiaBIM
Actively hiring","₹ 8,000 - 12,000 /month",Unknown,https://internshala.com/internship/detail/game-development-internship-in-ahmedabad-at-eshiabim1772714434,applied,
2026-03-15 14:14:04,tech-intern,Social Internship Program (60 Hours),"Scope For Change
Actively hiring",Unpaid,Unknown,https://internshala.com/internship/detail/social-internship-program-60-hours-internship-in-delhi-at-scope-for-change1772775807,applied,
2026-03-15 14:15:03,tech-intern,Software Engineer Intern - Cisco Women Internship Program,Cisco,Competitive stipend,Unknown,https://internshala.com/internship/detail/software-engineer-intern-cisco-women-internship-program-internship-in-bangalore-at-cisco1772707292,failed,
2026-03-15 14:15:24,tech-intern,Social Internship Program (60 Hours) - Virtual,"Scope For Change
Actively hiring",Unpaid,Unknown,https://internshala.com/internship/detail/work-from-home-social-internship-program-60-hours-virtual-internship-at-scope-for-change1772775754,applied,
2026-03-15 14:16:07,tech-intern,Node.js Development,Fiaxe,"₹ 5,000 - 7,500 /month",Unknown,https://internshala.com/internship/detail/nodejs-development-internship-in-mumbai-at-fiaxe1773404618,applied,
2026-03-18 17:20:13,tech-intern,Backend Operation,"Shri Shanidev Enterprise
Actively hiring","₹ 8,000 - 10,000 /month",Unknown,https://internshala.com/internship/detail/backend-operation-internship-in-mumbai-at-shri-shanidev-enterprise1773805736,applied,
2026-03-18 17:21:14,tech-intern,Ticket Review Internship,"The Affordable Organic Store
Actively hiring","₹ 1,000 - 1,500 /month",Unknown,https://internshala.com/internship/detail/work-from-home-part-time-ticket-review-internship-internship-at-the-affordable-organic-store1773824293,applied,
2026-03-18 17:22:06,tech-intern,Meta Ads Internship,"The Affordable Organic Store
Actively hiring","₹ 1,000 - 1,500 /month",Unknown,https://internshala.com/internship/detail/work-from-home-part-time-meta-ads-internship-internship-at-the-affordable-organic-store1773824091,applied,
2026-03-18 17:22:26,tech-intern,Mern Stack Developer Internship,"Diasimos Private Limited
Actively hiring","₹ 8,000 - 10,000 /month",Unknown,https://internshala.com/internship/detail/mern-stack-developer-internship-internship-in-ahmedabad-at-diasimos-private-limited1773816796,applied,
2026-03-18 17:22:48,tech-intern,Social Internship Program (60 Hours),"Scope For Change
Actively hiring",Unpaid,Unknown,https://internshala.com/internship/detail/social-internship-program-60-hours-internship-in-delhi-at-scope-for-change1772775807,applied,
2026-03-18 17:23:48,tech-intern,Software Engineer Intern - Cisco Women Internship Program,Cisco,Competitive stipend,Unknown,https://internshala.com/internship/detail/software-engineer-intern-cisco-women-internship-program-internship-in-bangalore-at-cisco1772707292,failed,
2026-03-18 17:24:11,tech-intern,Social Internship Program (60 Hours) - Virtual,"Scope For Change
Actively hiring",Unpaid,Unknown,https://internshala.com/internship/detail/work-from-home-social-internship-program-60-hours-virtual-internship-at-scope-for-change1772775754,applied,
2026-03-18 17:24:34,tech-intern,Software Engineer Trainee (Full Stack + AI) – Internship With PPO,"Intain Technologies Private Limited
Actively hiring","₹ 25,000 /month",Unknown,https://internshala.com/internship/detail/software-engineer-trainee-full-stack-ai--internship-with-ppo-internship-in-chennai-at-intain-technologies-private-limited1773656319,applied,
2026-03-18 17:25:08,tech-intern,Node.js Development,"Fiaxe
Actively hiring","₹ 5,000 - 7,500 /month",Unknown,https://internshala.com/internship/detail/nodejs-development-internship-in-mumbai-at-fiaxe1773404618,applied,
2026-04-02 19:09:30,tech-intern,Internship Counselor,"SkillOrbit
Actively hiring","₹ 18,000 - 20,000 /month",Unknown,https://internshala.com/internship/detail/internship-counselor-internship-in-bangalore-at-skillorbit1774240395,applied,
